CustomerID,TotalRevenue,TotalOrders,TotalQuantity,FirstPurchase,LastPurchase,AverageOrderValue,CustomerTenure,PurchaseFrequency,RevenueBand,CustomerType,Recency,R_Score,F_Score,M_Score,RFM_Score,EstimatedCLV
12346.0,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,1,1.0,"Above £10,000",One-Time,326,1,1,5,7,77183.6
12347.0,4310.0,7,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,615.7142857142857,365,0.019178082191780823,"£2,501–£5,000",Repeat,2,5,5,5,15,4310.0
12348.0,1797.24,4,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,449.31,282,0.014184397163120567,"£1,001–£2,500",Repeat,75,2,4,4,10,1797.2399999999998
12349.0,1757.55,1,631,2011-11-21 09:51:00,2011-11-21 09:51:00,1757.55,1,1.0,"£1,001–£2,500",One-Time,19,4,1,4,9,1757.55
12350.0,334.4,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,334.4,1,1.0,£0–£500,One-Time,310,1,1,2,4,334.4
12352.0,2506.04,8,536,2011-02-16 12:33:00,2011-11-03 14:37:00,313.255,260,0.03076923076923077,"£2,501–£5,000",Repeat,36,3,5,5,13,2506.04
12353.0,89.0,1,20,2011-05-19 17:47:00,2011-05-19 17:47:00,89.0,1,1.0,£0–£500,One-Time,204,1,1,1,3,89.0
12354.0,1079.4,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4,1,1.0,"£1,001–£2,500",One-Time,232,1,1,4,6,1079.4
12355.0,459.4,1,240,2011-05-09 13:49:00,2011-05-09 13:49:00,459.4,1,1.0,£0–£500,One-Time,214,1,1,2,4,459.4
12356.0,2811.43,3,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,937.1433333333333,302,0.009933774834437087,"£2,501–£5,000",Repeat,23,4,3,5,12,2811.4300000000003
12357.0,6207.67,1,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,6207.67,1,1.0,"£5,001–£10,000",One-Time,33,4,1,5,10,6207.67
12358.0,1168.06,2,248,2011-07-12 10:04:00,2011-12-08 10:26:00,584.03,149,0.013422818791946308,"£1,001–£2,500",Repeat,2,5,2,4,11,1168.06
12359.0,6310.03,4,1609,2011-01-12 12:43:00,2011-10-13 12:47:00,1577.5075,274,0.014598540145985401,"£5,001–£10,000",Repeat,58,3,4,5,12,6310.03
12360.0,2662.06,3,1165,2011-05-23 09:43:00,2011-10-18 15:22:00,887.3533333333334,148,0.02027027027027027,"£2,501–£5,000",Repeat,52,3,3,5,11,2662.0600000000004
12361.0,189.9,1,91,2011-02-25 13:51:00,2011-02-25 13:51:00,189.9,1,1.0,£0–£500,One-Time,287,1,1,1,3,189.9
12362.0,5226.23,10,2229,2011-02-17 10:30:00,2011-12-06 15:40:00,522.6229999999999,292,0.03424657534246575,"£5,001–£10,000",Repeat,3,5,5,5,15,5226.23
12363.0,552.0,2,408,2011-04-11 13:29:00,2011-08-22 10:18:00,276.0,132,0.015151515151515152,"£501–£1,000",Repeat,110,2,2,3,7,552.0
12364.0,1313.1,4,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,328.275,104,0.038461538461538464,"£1,001–£2,500",Repeat,8,5,4,4,13,1313.1
12365.0,641.38,2,174,2011-02-21 13:51:00,2011-02-21 14:04:00,320.69,1,2.0,"£501–£1,000",Repeat,291,1,2,3,6,641.38
12367.0,168.9,1,173,2011-12-05 16:48:00,2011-12-05 16:48:00,168.9,1,1.0,£0–£500,One-Time,4,5,1,1,7,168.9
